# time [s],Power [W]
317.5,-1.1388868
317.75,-1.124379897
318,-1.109825926
318.25,-1.3344356
318.5,-1.313092314
318.75,-1.291686645
319,-1.270219566
319.25,-1.174568604
319.5,-1.155362915
319.75,-1.136104344
320,-1.116793721
320.25,-0.118172807
320.5,-0.117860172
320.75,-0.117544021
321,-0.117224368
321.25,-0.255698629
321.5,-0.254282232
321.75,-0.252859086
322,-0.251429231
322.25,0.328655428
322.5,0.328655428
322.75,0.328655428
323,0.328655428
323.25,-0.18257869
323.5,-0.181752737
323.75,-0.180921937
324,-0.180086318
324.25,-0.047292607
324.5,-0.047277162
324.75,-0.047259603
325,-0.047239936
325.25,0.312824095
325.5,0.312824095
325.75,0.312824095
326,0.312824095
326.25,0.026126449
326.5,0.025852148
326.75,0.025579564
327,0.025308692
327.25,0.025039528
327.5,0.024772066
327.75,0.024506302
328,0.024242232
328.25,-1.528690769
328.5,-1.482411397
328.75,-1.43603677
329,-1.389569552
329.25,-1.447601743
329.5,-1.393517599
329.75,-1.339336773
330,-1.285062541
330.25,-0.136547519
330.5,-0.135513757
330.75,-0.134476443
331,-0.133435603
331.25,0.074651198
331.5,0.074361245
331.75,0.074071858
332,0.073783035
332.25,-0.220802509
332.5,-0.218304178
332.75,-0.215799812
333,-0.213289471
333.25,0.005602018
333.5,0.005483868
333.75,0.005366924
334,0.005251181
334.25,-0.123197582
334.5,-0.122120755
334.75,-0.121040707
335,-0.119957465
335.25,-0.078412253
335.5,-0.077846458
335.75,-0.077278493
336,-0.076708373
336.25,0.061347162
336.5,0.061082768
336.75,0.060818872
337,0.060555472
337.25,0.29011596
337.5,0.291178801
337.75,0.29224214
338,0.293305977
338.25,0.709855513
338.5,0.720950951
338.75,0.732056784
339,0.743173141
339.25,1.731602664
339.5,1.797329433
339.75,1.863136864
340,1.929027409
340.25,2.689382533
340.5,2.809951216
340.75,2.930694424
341,3.051618533
341.25,2.899857806
341.5,3.001122595
341.75,3.102551736
342,3.20415002
342.25,1.194058935
342.5,1.205712837
342.75,1.217382651
343,1.229068508
343.25,0.631961337
343.5,0.634064386
343.75,0.636169241
344,0.638275907
344.25,0.538415138
344.5,0.539621663
344.75,0.540828998
345,0.542037145
345.25,1.266833589
345.5,1.278588603
345.75,1.290360335
346,1.302148913
346.25,0.565147973
346.5,0.566372645
346.75,0.567598157
347,0.568824513
347.25,0.892170996
347.5,0.896743898
347.75,0.901322119
348,0.905905682
348.25,1.020269235
348.5,1.026383562
348.75,1.03250569
349,1.038635656
349.25,0.820620087
349.5,0.823915673
349.75,0.827214782
350,0.830517426
350.25,0.494288905
350.5,0.494815737
350.75,0.495342792
351,0.495870068
351.25,0.270240163
351.5,0.269912844
351.75,0.269585748
352,0.269258874
352.25,0.268932221
352.5,0.26860579
352.75,0.26827958
353,0.267953591
353.25,0.267627823
353.5,0.267302276
353.75,0.26697695
354,0.266651844
354.25,0.378104609
354.5,0.378104609
354.75,0.378104609
355,0.378104609
355.25,0.602259782
355.5,0.603510306
355.75,0.604761713
356,0.606014005
356.25,0.494288905
356.5,0.494815737
356.75,0.495342792
357,0.495870068
357.25,0.157461398
357.5,0.157007164
357.75,0.156553816
358,0.156101353
358.25,-0.576657907
358.5,-0.571569031
358.75,-0.566462195
359,-0.561337559
359.25,-1.130011836
359.5,-1.110684949
359.75,-1.091307106
360,-1.071879138
360.25,-0.986354993
360.5,-0.969089984
360.75,-0.951782151
361,-0.9344322
361.25,-0.609391176
361.5,-0.601253203
361.75,-0.593094164
362,-0.584914325
362.25,-0.283436772
362.5,-0.281117195
362.75,-0.278789967
363,-0.276455149
363.25,-0.045787945
363.5,-0.045708678
363.75,-0.045627545
364,-0.045544553
364.25,0.264170531
364.5,0.264170531
364.75,0.264170531
365,0.264170531
365.25,0.347330042
365.5,0.347798961
365.75,0.34826805
366,0.348737308
366.25,0.60108516
366.5,0.604165039
366.75,0.607247658
367,0.610333029
367.25,1.04521991
367.5,1.056680292
367.75,1.06815492
368,1.079643923
368.25,1.545952216
368.5,1.570879225
368.75,1.595842303
369,1.62084194
369.25,1.067094466
369.5,1.076615093
369.75,1.086147997
370,1.09569327
370.25,0.514452532
370.5,0.515643156
370.75,0.516834563
371,0.518026752
371.25,-0.246684419
371.5,-0.245226285
371.75,-0.243761662
372,-0.242290593
372.25,-1.376683113
372.5,-1.340561293
372.75,-1.304361565
373,-1.268085825
373.25,-1.828803799
373.5,-1.74924113
373.75,-1.669536096
